"title","id","iconName","command","loginRequire","tags","urlPattern"
百度,0,baidu.svg,bd,0,通用,http://www.baidu.com/s?wd={query}
谷歌,1,google.svg,gg,0,通用,https://www.google.com.hk/search?q={query}
magi,2,magi.svg,mg,0,"知识,通用",https://magi.com/search?q={query}
知乎,3,zhihu.svg,zh,0,知识,http://www.zhihu.com/search?q={query}
淘宝,4,taobao.svg,tb,1,购物,http://s.taobao.com/search?q={query}
豆瓣,5,douban.svg,db,0,"书籍,电影,社交",https://www.douban.com/search?q={query}
Github,6,github.svg,gh,0,编程,https://github.com/search?q={query}
Youtube,7,youtube.svg,ytb,0,视频,https://www.youtube.com/results?search_query={query}
Bilibili,8,bilibili.svg,bl,0,视频,https://search.bilibili.com/all?keyword={query}
谷歌翻译,9,google_translate.svg,gt,0,翻译,https://translate.google.cn/?sl=auto&tl=zh-CN&text={query}&op=translate
谷歌学术,10,google_scholar.svg,gs,0,"知识,学术",https://scholar.google.com.hk/scholar?hl=zh-CN&as_sdt=0%2C5&q={query}&btnG=
Pinterest,11,pinterest.svg,pin,1,"图片,设计",https://www.pinterest.com/search/pins/?q={query}
Unsplash,12,unsplash.svg,us,0,"图片,摄影",https://unsplash.dogedoge.com/s/photos/{query}
掘金,13,juejin.svg,jj,0,编程,https://juejin.cn/search?query={query}
StackOverflow,14,stackoverflow.svg,sof,0,编程,https://stackoverflow.com/search?q=query
维基百科,15,wiki.svg,wk,0,知识,https://zh.wikipedia.org/wiki/Special:Search/{query}
知网,16,cnki.svg,zw,0,"知识,学术",https://kns.cnki.net/kns8/defaultresult/index?txt_1_sel=SU%24%25%3D%7C&kw={query}
DeepL,17,deepl.svg,dl,0,翻译,https://www.deepl.com/translator#en/zh/{query}
微信公众号,18,wechat.svg,wx,0,通用,http://weixin.sogou.com/weixin?type=2&query={query}
什么值得买,19,smzdm.svg,sm,0,购物,http://search.smzdm.com/?s={query}
京东,20,jd.svg,jd,0,购物,https://search.jd.com/Search?keyword={query}
豆瓣电影,21,douban_movie.svg,dbm,0,电影,https://movie.douban.com/subject_search?search_text={query}
少数派,22,sspai.svg,ss,0,知识,https://sspai.com/search/article?q={query}
